vehicle_id,submission_time,arrival_time,departure_time,required_energy
90,0.02,4.14,9.26,51.23
165,0.03,0.3,3.15,28.53
60,0.08,0.68,3.45,27.76
6,0.15,0.15,4.87,43.25
56,0.25,17.04,22.91,53.79
190,0.32,4.08,9.8,57.26
64,0.39,39.53,44.19,46.53
19,0.43,18.35,19.16,8.14
53,0.63,5.34,10.18,48.38
32,0.71,34.43,39.94,55.08
111,0.8,7.95,12.0,37.19
151,0.83,1.04,4.15,28.47
185,0.96,2.27,8.46,61.96
8,1.04,18.93,23.52,42.04
18,1.05,1.51,2.7,10.92
183,1.05,12.31,14.15,18.42
66,1.07,1.69,6.49,43.96
199,1.08,3.27,6.78,32.14
155,1.17,7.66,13.17,55.15
11,1.45,26.44,32.63,61.89
28,1.51,12.74,16.18,31.6
93,1.56,24.5,29.97,50.09
123,1.58,1.72,8.64,63.5
27,1.61,2.32,5.09,27.72
30,1.75,4.28,9.77,50.36
149,2.02,27.05,28.3,12.54
74,2.07,2.99,6.67,36.79
102,2.09,5.21,6.33,11.13
124,2.43,19.92,26.74,62.58
126,2.47,2.57,8.06,50.27
127,2.56,2.92,5.11,21.92
82,2.72,31.15,35.83,46.81
100,2.72,3.61,6.18,25.68
2,2.8,3.03,8.0,49.64
144,2.94,13.75,18.39,42.58
129,3.03,11.86,18.18,63.22
9,3.38,3.63,8.73,46.71
14,3.42,4.37,9.27,44.96
156,3.46,16.27,22.71,64.39
34,3.65,4.53,7.12,23.8
103,3.69,31.53,37.09,50.93
47,3.97,4.44,7.79,30.68
52,3.99,22.17,26.85,46.83
45,4.0,18.21,20.33,21.17
95,4.08,4.74,11.6,62.86
63,4.23,14.41,19.45,50.34
62,4.33,5.1,10.48,53.77
51,4.38,14.03,17.53,34.99
141,4.47,8.94,12.63,36.88
88,4.98,8.54,12.04,32.08
188,4.98,24.54,30.48,54.42
154,5.02,6.54,11.71,51.72
92,5.17,26.87,32.11,48.07
158,5.24,19.73,26.07,63.37
43,5.3,18.42,19.07,6.48
81,5.42,28.19,29.49,11.92
160,5.58,6.27,8.83,25.59
137,5.6,16.97,20.13,31.56
50,5.72,29.58,30.78,11.04
162,5.9,6.7,12.6,54.11
122,6.09,19.22,21.58,23.55
54,6.09,27.6,31.42,34.99
42,6.13,6.98,9.38,23.96
186,6.24,39.01,40.06,10.49
35,6.4,6.74,10.95,38.53
195,6.41,12.92,18.73,58.1
