vehicle_id,submission_time,arrival_time,departure_time,required_energy
5,0.01,3.1,5.82,21.87
11,0.04,0.22,5.77,39.51
17,0.09,0.95,7.44,59.05
4,0.28,3.2,7.74,33.06
16,0.29,0.78,8.18,65.15
7,0.44,1.31,4.46,26.46
1,0.59,0.85,8.16,60.8
12,0.89,1.81,6.69,47.28
6,1.08,2.91,9.11,57.68
10,1.11,1.36,6.2,31.24
19,1.12,1.37,8.87,56.28
9,1.14,2.83,10.1,58.77
15,1.19,1.84,4.82,19.8
14,1.33,3.11,8.26,48.5
3,1.8,2.77,8.47,39.01
2,1.96,2.71,5.97,20.23
8,2.14,3.02,9.65,46.75
20,2.83,3.37,4.89,12.03
18,2.97,3.07,3.97,6.59
13,3.18,3.64,6.28,22.32
