vehicle_id,submission_time,arrival_time,departure_time,required_energy
190,0.01,0.92,1.89,8.92
7,0.04,0.34,2.15,18.17
119,0.08,0.22,4.62,44.0
122,0.11,16.03,16.85,8.21
194,0.13,0.28,5.55,52.74
192,0.2,3.18,7.88,43.07
136,0.2,4.07,7.5,34.33
171,0.43,1.17,3.79,26.17
199,0.51,22.52,23.68,11.59
71,0.54,2.46,7.48,46.0
86,0.61,36.13,43.11,63.97
96,0.64,6.23,11.2,45.6
181,0.71,4.62,10.82,56.84
101,0.79,31.65,37.74,60.93
2,0.84,1.4,7.76,58.28
153,0.86,1.49,7.58,60.87
169,0.95,3.31,5.56,22.54
56,1.16,11.02,15.94,45.03
60,1.16,3.33,8.53,47.58
48,1.21,13.66,19.57,59.19
25,1.25,2.96,6.29,33.39
63,1.27,29.35,31.45,19.21
187,1.5,9.97,14.15,41.82
180,1.55,8.83,14.77,59.46
36,1.57,2.12,8.26,61.43
31,1.75,7.67,8.93,11.5
47,1.81,2.17,8.25,55.7
173,1.97,4.3,7.89,35.91
164,2.03,3.03,10.03,64.13
33,2.09,2.72,9.24,59.7
157,2.72,4.55,9.28,43.38
32,3.25,21.32,24.57,29.84
147,3.31,29.64,33.77,37.87
121,3.45,4.05,8.32,39.14
162,3.54,3.89,4.68,7.26
4,3.77,4.28,7.75,31.81
81,3.87,13.57,19.28,57.13
43,4.2,4.89,10.58,56.86
35,4.39,18.47,24.56,55.81
38,4.4,7.62,10.5,26.42
188,4.63,16.72,19.08,21.64
88,4.75,5.16,6.51,13.54
146,4.77,15.72,18.65,29.28
99,4.82,5.15,11.24,60.81
125,4.84,12.28,17.6,53.15
151,4.9,31.84,37.3,50.09
144,5.0,24.38,31.22,62.72
104,5.22,5.95,11.13,51.78
45,5.29,23.76,26.81,27.96
118,5.51,15.95,21.94,59.86
116,5.63,8.12,13.6,54.82
28,5.66,6.44,7.49,10.51
123,5.81,15.14,17.03,18.89
137,5.9,9.32,10.44,10.26
186,5.92,12.55,16.06,32.1
183,6.19,6.5,7.74,12.38
163,6.37,12.38,14.3,17.59
108,6.6,6.95,12.43,50.22
29,6.84,7.36,14.46,65.11
12,6.93,38.91,45.82,63.29
117,7.01,7.52,8.86,13.42
69,7.03,13.56,16.3,25.14
44,7.05,27.75,34.67,63.49
152,7.24,28.65,31.83,29.19
80,7.52,18.46,19.06,5.53
109,7.73,35.02,36.96,19.46
64,7.81,35.65,37.75,19.29
