vehicle_id,submission_time,arrival_time,departure_time,required_energy
33,0.12,24.34,26.07,15.86
172,0.12,6.17,9.81,36.39
153,0.14,0.75,5.02,42.66
174,0.24,27.33,31.68,43.49
41,0.28,0.92,5.88,49.55
62,0.42,10.73,12.92,20.05
105,0.5,26.87,27.51,6.43
3,0.81,5.05,10.72,51.91
7,0.87,1.16,3.19,20.39
103,0.91,1.87,4.01,19.57
194,1.03,8.74,10.47,17.3
70,1.03,1.19,7.42,62.3
119,1.04,16.28,19.16,26.42
146,1.18,17.48,23.97,64.9
27,1.21,7.13,14.31,65.83
182,1.28,1.87,4.27,24.0
82,1.4,9.38,14.68,48.61
52,1.44,1.45,7.6,56.41
199,1.7,9.34,11.37,18.64
168,1.76,3.19,8.96,57.69
15,1.87,21.09,27.31,62.2
21,1.96,30.5,34.99,44.9
83,2.1,19.62,22.84,32.22
140,2.4,2.55,5.78,32.31
66,2.44,6.91,12.79,53.95
26,2.44,21.23,22.08,8.46
20,2.64,4.67,8.13,31.72
4,2.67,27.91,34.2,57.66
183,2.76,23.01,28.65,51.64
79,2.81,6.97,13.12,61.44
121,3.05,3.3,7.34,40.43
115,3.19,7.85,11.04,29.23
29,3.3,3.38,9.36,59.79
155,3.36,4.34,9.76,49.72
2,3.58,8.24,11.34,28.38
127,3.58,4.24,9.62,53.77
31,3.6,9.99,13.57,35.85
184,3.64,8.22,13.62,49.51
57,3.7,11.16,16.73,55.73
25,3.71,4.03,9.27,47.95
180,3.82,5.22,9.97,47.54
23,3.95,13.21,14.19,9.03
106,4.51,5.21,7.79,23.65
187,4.74,5.11,6.73,16.26
149,5.02,28.04,32.84,47.97
1,5.03,5.32,6.0,6.16
188,5.05,5.71,9.2,34.91
93,5.51,5.77,11.85,55.82
89,5.59,6.41,7.99,14.54
166,5.76,6.16,7.8,16.42
110,5.78,22.99,24.77,16.4
77,5.81,6.63,12.63,60.05
132,5.93,6.13,9.37,32.39
163,6.11,6.86,11.5,42.52
167,6.33,7.2,7.88,6.29
150,6.36,7.0,12.93,54.41
181,6.36,26.0,28.04,18.66
96,6.53,18.66,19.93,12.76
138,6.57,20.58,24.81,38.84
143,6.62,16.05,18.14,19.14
38,6.79,8.66,9.91,12.48
97,6.98,14.78,18.36,35.77
78,6.99,16.79,23.65,62.87
85,7.05,7.84,8.95,10.11
152,7.1,27.35,33.28,59.37
198,7.43,11.45,13.69,22.35
148,7.5,28.32,29.42,10.14
49,7.63,16.43,20.59,41.61
157,7.67,14.92,19.7,43.84
74,7.76,30.03,32.34,23.09
142,7.77,8.01,12.78,47.68
108,7.81,23.87,25.01,11.37
102,7.82,28.6,30.94,23.4
117,7.93,8.72,9.45,6.66
112,7.96,8.23,12.08,38.54
30,8.08,11.73,17.85,61.15
193,8.28,9.12,14.26,51.43
42,8.45,19.42,25.09,51.9
44,8.45,9.34,16.0,61.12
200,8.72,8.88,13.87,49.94
161,8.75,9.05,9.68,6.34
130,9.05,15.08,17.64,23.5
122,9.16,19.22,24.59,49.26
175,9.17,9.54,10.65,11.06
123,9.41,19.82,25.18,49.13
137,9.66,10.65,15.46,48.07
6,9.91,13.48,18.32,44.37
51,10.04,12.96,19.55,60.38
87,10.11,12.1,12.72,5.64
