vehicle_id,submission_time,arrival_time,departure_time,required_energy
20,0.05,0.96,7.05,55.45
5,0.08,0.09,3.21,22.71
12,0.11,1.09,6.42,44.72
18,0.14,0.16,4.46,32.81
11,0.19,0.75,3.13,16.71
7,0.26,2.55,9.53,49.18
3,0.43,0.73,5.12,35.66
10,0.53,0.62,4.7,25.59
8,0.7,2.32,9.43,65.58
13,0.83,0.85,7.72,51.31
19,1.07,1.8,6.04,37.96
6,1.16,3.89,9.22,44.35
4,1.34,1.8,8.52,47.48
15,1.35,1.47,4.28,21.0
17,1.36,1.53,3.2,15.01
2,2.03,2.42,7.1,42.86
16,2.08,2.18,8.31,50.8
1,2.35,2.77,8.67,54.02
14,2.35,2.59,9.3,46.97
9,2.66,3.5,6.2,23.13
