vehicle_id,submission_time,arrival_time,departure_time,required_energy
39,0.0,0.46,3.69,21.42
3,0.04,0.21,6.5,61.21
13,0.1,0.71,2.13,13.47
28,0.27,0.92,5.6,45.88
2,0.4,0.64,2.59,15.19
40,0.48,0.76,2.3,9.94
32,0.66,3.15,8.2,44.98
33,0.82,3.16,11.48,64.21
43,0.88,5.46,12.72,56.87
44,0.89,2.09,6.22,26.55
9,0.91,1.7,6.62,44.32
8,0.94,1.82,8.12,56.67
41,0.97,1.42,4.03,16.13
17,0.98,4.39,9.84,37.33
23,1.01,4.39,8.0,23.03
50,1.02,4.38,12.12,64.07
15,1.22,7.12,8.56,10.65
7,1.26,2.36,5.7,28.86
37,1.32,3.88,5.01,9.04
24,1.33,2.75,10.64,54.83
45,1.41,1.52,2.92,9.76
49,1.44,1.82,3.78,11.88
36,1.54,2.77,7.67,31.86
29,1.58,2.29,7.6,48.72
26,1.75,6.93,11.58,39.64
27,1.78,1.84,3.39,14.18
34,1.98,2.38,8.35,50.03
18,2.02,4.86,8.98,26.5
19,2.05,9.03,9.79,6.51
5,2.44,6.39,11.23,46.34
4,3.67,4.59,9.91,47.08
1,3.8,8.49,12.61,30.03
46,3.83,7.02,13.21,53.42
12,3.91,4.96,11.99,57.07
47,4.12,8.64,16.33,65.75
6,4.28,4.47,5.8,9.76
42,4.29,8.07,15.23,57.45
20,4.34,5.17,10.89,42.63
21,4.66,5.45,8.52,17.83
38,5.0,8.4,10.99,24.62
31,5.06,9.96,10.9,7.84
16,5.22,6.75,11.32,44.92
10,5.4,5.81,7.42,12.45
48,5.55,6.86,14.61,60.22
35,5.56,6.3,13.82,52.52
25,6.59,7.24,9.27,19.89
14,6.74,7.15,11.37,25.99
30,6.75,9.79,13.11,19.44
11,8.13,9.22,12.13,24.7
22,8.42,8.48,10.02,13.46
