vehicle_id,submission_time,arrival_time,departure_time,required_energy
33,0.01,0.02,4.74,39.84
15,0.03,3.71,6.38,23.78
29,0.03,0.21,5.18,45.16
24,0.06,1.64,5.07,23.14
25,0.08,4.16,7.78,29.52
38,0.11,0.44,7.75,51.03
35,0.23,0.35,4.77,35.35
11,0.34,0.38,5.26,43.4
40,0.42,0.61,1.37,5.5
37,0.49,0.54,7.47,61.05
20,0.54,0.57,8.47,63.74
10,0.83,2.29,4.95,24.76
36,0.92,1.37,6.81,36.82
23,1.04,2.18,5.57,30.98
2,1.11,1.35,9.24,60.98
7,1.21,7.2,13.51,63.01
26,1.22,2.42,6.98,29.1
28,1.35,5.89,9.3,25.5
6,1.45,1.66,2.43,7.55
5,1.8,3.4,9.5,47.58
30,1.84,3.97,5.5,14.4
8,1.92,2.56,7.72,32.05
17,2.04,3.3,4.96,10.07
1,2.23,3.85,7.26,30.94
12,2.35,6.26,13.29,61.34
22,2.35,4.15,6.33,13.87
9,2.35,7.37,9.46,13.8
39,2.49,2.99,8.51,47.27
19,2.74,3.35,10.45,57.64
34,2.75,3.85,5.8,18.36
31,2.86,2.91,6.76,25.27
16,3.73,3.92,10.47,63.08
4,4.03,5.84,11.62,52.41
13,4.29,7.64,10.39,26.72
32,4.84,5.42,11.77,47.72
3,4.86,6.48,7.96,12.69
14,5.02,7.6,10.54,18.51
27,5.14,6.38,9.31,22.91
21,6.18,7.64,8.8,8.96
18,6.74,7.58,9.61,14.93
