vehicle_id,submission_time,arrival_time,departure_time,required_energy
1,0.04,0.15,6.57,49.3
4,0.15,2.73,9.03,60.92
7,0.16,0.49,2.06,11.36
14,0.17,0.89,6.26,38.34
9,0.22,2.91,4.02,7.42
18,0.42,0.49,4.97,28.35
6,0.6,0.63,2.87,19.48
11,0.75,0.93,4.55,31.26
19,0.82,1.57,8.85,58.64
2,1.06,3.95,10.97,55.1
13,1.1,2.64,5.69,18.52
8,1.23,3.28,7.47,29.71
12,1.26,1.36,7.71,44.3
15,1.42,3.31,9.06,52.42
3,1.51,2.44,9.33,52.82
17,1.51,3.42,7.64,37.76
5,1.85,2.18,5.87,28.94
10,2.41,2.91,8.5,48.67
16,2.81,2.84,4.52,16.24
20,2.96,3.45,9.79,58.9
