vehicle_id,submission_time,arrival_time,departure_time,required_energy
62,0.03,0.12,4.38,39.74
85,0.04,0.07,3.23,25.72
34,0.05,0.29,4.42,38.33
37,0.07,0.1,4.75,34.61
3,0.1,1.25,3.72,16.27
14,0.18,0.22,3.8,27.13
39,0.22,3.03,9.14,60.21
12,0.23,1.01,6.24,32.86
72,0.25,1.62,9.63,64.5
15,0.29,16.45,21.6,35.66
41,0.32,0.66,2.05,8.59
11,0.36,1.65,6.24,34.09
13,0.37,0.45,1.31,8.33
22,0.42,10.12,14.42,32.45
8,0.44,2.61,5.26,16.14
89,0.46,7.76,11.94,28.48
76,0.47,10.91,13.66,21.76
53,0.57,1.61,3.06,11.54
77,0.59,5.2,8.58,32.3
64,0.62,2.62,7.21,31.14
2,0.69,6.95,7.86,6.41
29,0.88,3.14,9.6,51.31
45,0.91,13.48,18.83,38.79
36,0.94,7.14,12.44,52.48
73,1.11,3.1,6.72,22.0
50,1.26,2.71,9.48,52.92
31,1.42,2.79,3.89,6.29
33,1.44,8.74,15.52,55.3
95,1.48,16.19,23.25,62.69
93,1.55,12.88,18.26,36.78
35,1.57,14.21,19.06,35.42
30,1.63,10.76,15.64,34.94
80,1.68,12.8,15.1,21.7
18,1.88,2.59,7.08,39.68
48,2.15,14.63,20.97,60.8
97,2.35,6.49,10.54,39.92
92,2.7,16.84,18.63,12.11
44,2.77,8.21,12.65,28.87
23,2.79,11.02,17.13,47.9
81,2.82,6.39,9.28,22.88
88,2.87,10.11,11.38,11.91
58,2.89,4.78,12.18,60.87
28,2.91,9.03,16.41,61.56
83,3.02,8.14,13.83,45.52
6,3.49,13.32,20.08,64.09
38,3.78,4.07,11.55,61.1
96,3.83,17.37,21.62,38.58
91,3.97,14.74,21.31,42.66
7,4.02,17.87,22.2,26.89
27,4.08,7.82,10.51,24.47
43,4.13,16.12,18.28,16.65
4,4.34,17.28,22.48,35.83
90,4.44,4.79,7.27,22.98
65,4.52,12.38,19.59,52.3
79,4.56,7.15,13.69,57.93
87,4.58,18.38,22.42,27.4
55,4.61,16.45,18.81,22.27
32,4.96,12.98,18.93,48.61
5,4.96,8.35,15.46,63.23
74,5.9,5.94,7.23,11.53
19,6.05,7.55,10.27,23.57
16,6.15,11.51,16.38,42.34
67,6.55,17.92,22.94,48.26
68,6.71,13.79,14.54,6.07
26,6.72,15.86,20.24,28.34
24,6.99,7.68,11.18,26.65
10,7.44,15.06,16.2,10.02
99,7.62,17.48,21.1,27.74
100,7.76,18.24,19.38,7.4
49,8.29,14.87,22.62,62.16
20,8.34,9.66,12.17,24.36
40,8.8,13.67,20.28,56.49
86,8.82,12.01,15.51,22.58
17,9.14,19.24,25.22,57.43
82,9.32,14.89,17.74,26.05
98,9.45,13.7,14.9,8.02
54,9.74,14.46,17.47,22.99
63,9.91,14.47,20.88,45.96
1,10.04,10.76,16.94,41.07
46,10.1,14.39,22.72,63.26
84,10.1,16.12,17.0,8.19
94,10.15,11.09,17.72,56.59
78,10.59,11.55,18.14,62.29
59,10.74,15.19,16.63,13.04
61,10.81,14.31,21.26,50.91
25,10.84,13.86,15.29,10.64
66,11.68,14.75,17.26,22.5
21,12.63,19.07,21.06,15.91
57,12.89,18.25,25.38,61.5
52,12.98,15.82,16.79,9.65
51,13.15,19.43,20.36,5.56
69,13.18,18.79,25.87,49.17
47,13.89,17.94,21.2,29.61
9,14.04,15.54,20.27,44.99
70,14.18,16.45,21.93,40.21
60,14.89,18.24,21.37,20.36
75,15.45,18.15,19.85,10.33
71,16.29,19.0,22.85,28.78
56,16.72,16.98,19.79,24.51
42,18.48,19.56,24.01,38.21
