vehicle_id,submission_time,arrival_time,departure_time,required_energy
16,0.05,0.07,4.12,32.4
12,0.07,0.2,2.44,14.4
17,0.09,0.25,2.54,17.67
9,0.11,3.14,4.35,6.81
15,0.22,1.33,3.26,17.73
3,0.31,1.73,4.49,22.27
20,0.49,3.65,6.58,17.69
18,0.54,2.03,6.68,32.7
14,0.82,1.78,8.17,47.1
8,0.87,1.23,3.34,14.57
1,1.32,1.9,7.75,52.74
13,1.47,1.53,6.58,37.15
19,1.79,3.28,8.95,49.9
6,1.88,2.46,6.01,26.98
4,1.96,3.64,5.75,16.38
7,2.14,2.91,6.46,23.83
5,2.2,2.25,7.03,33.34
11,2.37,3.02,5.29,14.51
2,2.47,2.58,4.99,16.86
10,2.72,2.74,9.59,54.65
