vehicle_id,submission_time,arrival_time,departure_time,required_energy
3,0.01,0.16,4.22,38.64
15,0.01,0.15,2.56,21.77
16,0.01,0.17,5.56,45.62
13,0.04,0.61,3.91,26.76
17,0.08,0.6,6.31,46.67
5,0.44,0.66,4.33,28.34
12,0.59,1.34,6.43,31.74
10,0.6,0.74,8.72,65.59
6,0.74,1.5,9.25,59.0
19,0.82,1.38,6.26,43.8
20,1.19,1.28,2.14,5.66
2,1.35,1.45,4.07,23.24
14,1.43,2.4,8.8,54.92
8,1.6,2.23,3.74,11.62
9,2.5,2.76,8.91,48.56
4,3.17,3.8,10.9,61.23
1,3.2,3.78,7.78,33.53
11,3.3,3.71,5.32,12.57
7,3.35,3.99,10.61,59.54
18,3.58,3.97,7.3,33.24
