vehicle_id,submission_time,arrival_time,departure_time,required_energy
29,0.05,0.08,3.11,23.18
35,0.05,0.12,4.2,28.31
53,0.86,1.63,3.91,18.8
28,1.17,1.38,3.38,12.08
58,1.24,1.24,5.77,30.76
54,1.32,1.71,9.32,62.88
33,1.41,1.78,8.71,55.42
6,1.47,1.89,9.93,61.96
48,1.63,1.88,2.82,6.64
80,1.8,2.11,6.85,41.37
18,2.8,2.98,9.79,47.56
31,2.81,2.82,8.61,55.11
1,2.91,2.98,6.6,21.23
77,3.21,3.53,5.51,10.91
36,3.49,4.03,12.25,62.26
57,4.02,4.05,5.36,7.32
11,4.57,4.78,11.6,55.54
16,4.67,5.09,7.87,16.77
84,4.71,5.59,9.21,31.87
65,4.95,5.57,10.84,32.66
98,4.98,5.85,6.9,6.76
62,5.09,5.7,8.12,22.5
61,5.19,5.49,8.22,25.6
55,5.52,5.72,9.05,24.05
56,5.84,6.23,10.48,27.24
42,5.98,6.38,13.28,49.8
99,6.19,6.67,13.61,53.78
68,6.23,7.05,14.5,62.97
7,6.89,7.09,10.47,33.16
63,7.09,7.56,14.27,51.61
37,7.38,7.6,9.74,19.13
34,7.89,8.54,12.53,38.59
75,7.99,8.76,13.54,41.38
94,8.44,8.98,12.83,37.15
27,8.86,9.74,16.18,43.51
67,9.06,9.29,15.47,43.32
47,9.33,10.24,14.69,32.61
91,9.36,10.14,15.09,45.19
45,9.51,10.11,14.43,40.7
72,9.78,10.44,16.86,57.32
20,9.8,9.88,17.74,59.1
30,10.04,10.51,18.11,63.71
73,10.11,10.91,17.76,59.11
83,10.3,10.38,18.09,53.8
22,10.45,10.63,13.8,22.33
25,10.85,11.57,17.38,38.62
49,10.87,11.63,15.18,25.53
26,11.03,11.95,16.72,32.88
51,11.26,11.72,12.58,5.9
17,11.29,12.26,15.33,19.93
79,11.43,11.61,13.56,16.23
52,11.54,12.06,12.81,5.69
39,11.55,12.04,16.47,29.22
86,11.59,11.74,17.17,53.37
78,11.6,11.99,14.23,16.58
97,11.65,12.22,17.13,38.17
89,12.45,13.28,19.27,52.88
14,12.72,13.15,16.51,21.4
44,12.98,13.14,19.84,49.58
38,13.0,13.68,15.18,11.96
40,13.55,14.11,16.99,18.83
43,13.68,14.48,17.91,30.46
3,13.99,14.82,16.24,7.95
76,14.03,14.18,16.54,19.05
8,14.18,14.98,19.36,27.31
60,14.29,14.95,18.43,20.2
82,14.36,14.86,18.11,30.52
70,14.42,14.89,17.74,21.01
93,14.81,15.3,19.08,23.25
100,14.85,14.95,21.3,52.03
24,15.05,15.99,16.9,8.52
59,15.29,16.06,19.69,24.72
13,15.32,16.16,18.45,15.97
87,15.37,16.06,18.85,24.13
50,15.45,15.64,18.15,19.48
21,15.45,15.74,17.17,11.4
15,15.63,15.95,23.58,61.4
10,15.69,16.49,22.32,53.62
92,15.95,16.72,22.76,55.62
74,15.96,16.27,22.15,47.9
85,16.39,16.51,19.74,30.2
88,16.43,16.76,20.09,23.19
19,16.59,16.72,21.55,40.74
66,16.77,17.67,25.42,61.22
2,16.88,17.53,20.03,17.22
71,16.93,17.9,24.56,56.88
9,16.98,17.2,23.33,40.84
46,16.99,17.78,19.41,15.67
96,17.13,17.54,19.22,10.75
69,17.2,18.03,23.79,41.79
41,17.37,17.83,20.34,22.09
23,17.77,18.13,25.48,62.03
64,17.79,18.53,24.31,49.07
5,17.89,18.19,23.8,51.85
12,17.91,18.28,23.05,40.32
81,17.94,18.66,26.6,65.32
32,18.83,19.14,23.37,41.15
90,19.15,19.46,25.52,40.03
4,19.25,19.98,22.61,19.46
95,19.44,19.55,21.21,15.47
