vehicle_id,submission_time,arrival_time,departure_time,required_energy
5,0.1,0.14,2.48,16.74
18,0.15,0.16,5.35,40.04
4,0.26,0.76,2.67,11.82
6,0.39,1.19,1.96,6.93
16,0.45,1.21,5.87,40.58
17,0.52,1.05,9.28,64.18
12,0.63,1.59,6.61,38.83
19,0.77,1.57,4.92,24.09
1,1.11,1.55,6.39,42.19
13,1.24,1.82,4.28,17.77
10,1.34,2.08,4.4,17.59
2,1.66,1.93,3.69,10.05
3,1.67,2.12,4.09,15.58
14,1.95,2.42,8.6,45.06
11,2.03,2.35,7.7,46.6
8,2.03,2.77,8.56,50.83
15,2.42,3.06,3.89,8.03
20,2.83,3.19,6.49,23.1
9,3.15,3.91,10.64,43.9
7,3.35,3.68,6.38,17.58
