vehicle_id,submission_time,arrival_time,departure_time,required_energy
5,0.03,0.92,5.96,33.64
12,0.07,0.08,5.62,36.89
2,0.08,0.68,4.6,33.92
16,0.17,0.52,2.81,14.82
9,0.55,0.83,6.04,39.59
6,0.67,1.2,7.72,56.31
8,0.95,1.76,5.41,22.69
20,1.12,1.26,5.02,34.12
13,1.15,1.95,3.92,12.51
14,1.28,1.64,5.85,32.53
15,1.39,1.99,10.19,61.16
1,1.54,2.49,7.32,40.92
10,2.04,2.95,9.97,64.51
17,2.35,2.55,8.82,58.6
19,2.62,2.81,8.62,49.03
18,2.62,2.95,11.48,64.4
7,2.66,3.36,10.7,65.57
4,2.81,3.19,10.98,64.44
11,2.87,3.51,10.23,58.41
3,3.24,3.38,10.62,55.47
