vehicle_id,submission_time,arrival_time,departure_time,required_energy
9,0.01,0.07,5.35,44.63
6,0.02,0.51,6.26,54.41
29,0.24,0.7,6.33,41.26
30,0.26,0.85,3.72,20.71
8,0.37,0.78,7.34,63.2
31,0.47,1.06,2.56,13.57
48,0.57,0.9,6.58,43.4
28,0.62,0.75,6.96,61.01
14,0.73,0.8,6.36,50.71
26,0.8,0.95,3.98,24.4
44,1.4,1.55,5.93,28.1
40,1.43,1.98,8.49,49.95
24,1.72,2.71,10.37,52.94
3,1.72,2.52,5.35,19.1
19,1.8,2.39,6.9,27.68
33,2.01,2.83,8.79,58.89
1,2.45,2.99,4.67,15.79
42,2.56,3.32,8.94,43.05
50,3.15,3.43,9.13,54.02
27,3.62,3.69,4.87,6.7
38,3.71,4.04,8.49,37.14
45,3.82,4.06,8.64,36.8
18,3.94,4.76,10.02,51.23
43,4.02,4.88,12.44,60.79
41,4.35,4.39,5.5,8.22
16,4.71,5.05,8.2,28.19
10,4.72,5.62,11.96,45.59
22,4.74,4.87,6.1,8.3
46,4.87,5.66,11.71,51.37
12,4.99,5.41,10.69,50.17
4,5.02,6.01,8.25,20.13
20,5.23,5.91,13.1,64.61
32,5.28,6.12,13.75,62.26
34,5.31,5.9,11.16,40.57
36,5.35,5.64,7.8,14.28
17,6.1,6.74,7.69,5.76
25,6.55,7.14,13.55,51.7
47,6.73,7.47,13.36,40.22
7,6.93,7.21,11.3,26.95
13,7.14,7.53,11.0,29.61
21,7.4,7.79,13.95,49.9
2,7.7,8.17,10.97,26.18
49,7.82,8.69,13.78,33.85
5,8.04,8.17,15.23,52.69
35,8.33,8.77,12.74,32.59
37,8.97,9.17,10.75,12.42
39,9.17,9.35,15.25,43.74
15,9.38,9.73,16.45,46.78
23,9.7,9.89,16.75,48.08
11,9.9,9.93,12.14,19.7
