vehicle_id,submission_time,arrival_time,departure_time,required_energy
102,0.07,0.09,4.16,40.63
71,0.08,0.34,1.12,7.21
39,0.13,0.23,4.05,34.97
151,0.17,0.51,2.47,17.96
67,0.26,0.28,3.09,25.77
76,0.6,1.45,4.27,25.89
91,0.73,0.9,1.6,6.43
53,0.77,0.99,4.76,37.71
189,1.01,1.33,6.48,51.5
55,1.02,1.13,2.66,14.03
92,1.13,2.13,9.28,65.57
119,1.62,2.2,6.57,40.07
113,1.8,2.18,4.47,22.9
86,1.92,2.9,6.31,34.11
74,2.05,2.1,3.98,17.3
31,2.15,2.22,5.61,33.96
134,2.17,2.66,7.15,41.12
20,2.19,2.87,6.68,34.89
139,2.23,2.84,4.74,18.99
135,2.48,2.65,3.52,7.91
79,2.59,3.08,4.85,16.26
140,2.6,3.44,4.45,10.1
10,2.64,3.28,8.15,48.74
160,2.82,3.44,6.66,29.53
107,2.9,3.04,4.54,15.0
54,3.07,3.66,7.02,33.61
69,3.21,3.8,9.77,59.67
130,3.35,3.98,9.84,53.79
32,4.31,4.7,8.05,33.52
49,4.39,4.88,9.42,45.4
100,4.91,5.55,8.54,29.97
58,4.96,5.05,10.49,54.39
120,5.39,5.47,8.89,31.32
200,5.47,6.28,13.0,61.64
155,5.52,5.83,8.95,28.61
168,6.4,6.55,10.48,39.28
61,6.47,7.27,10.75,31.91
144,6.72,6.84,9.03,21.92
106,7.22,7.54,10.76,29.57
156,7.4,8.37,13.33,45.47
175,7.41,7.61,11.14,35.33
129,7.59,8.0,12.67,42.79
108,7.61,8.0,10.05,20.45
17,7.82,8.15,8.73,5.78
34,8.02,8.63,9.71,9.92
171,8.05,8.49,9.91,14.17
40,8.19,8.92,9.65,6.72
15,8.22,8.47,13.02,45.55
196,8.77,9.06,12.13,28.11
164,9.01,9.5,14.13,42.5
179,9.4,10.28,12.94,24.38
18,9.76,9.85,16.03,56.66
51,9.92,10.17,11.47,12.92
8,9.99,10.57,11.89,12.09
45,10.01,10.98,16.54,50.88
131,10.45,11.4,13.41,20.06
141,10.52,10.7,16.17,54.77
116,10.6,11.23,13.34,19.28
132,10.64,11.44,14.66,32.17
65,10.74,11.08,13.92,28.47
90,10.84,11.56,17.59,55.32
195,10.91,11.63,15.93,39.48
9,10.98,11.54,12.98,13.16
52,11.03,11.97,18.13,56.51
64,11.34,11.6,15.83,38.75
157,11.86,11.95,16.46,41.35
127,12.67,13.16,19.14,59.88
84,12.92,13.35,14.41,9.68
109,13.06,13.44,19.97,65.38
169,13.13,13.19,15.92,25.0
82,13.48,14.08,15.68,16.07
138,13.59,14.19,17.03,28.48
181,13.87,14.54,15.42,8.05
13,14.4,14.66,16.73,20.67
47,14.67,15.34,16.45,11.05
27,14.77,15.46,16.42,9.6
78,14.97,15.02,16.94,19.19
184,15.12,15.34,17.14,16.58
110,15.28,15.95,17.88,17.69
199,15.99,16.4,21.9,55.04
75,16.03,16.96,22.3,53.42
122,16.25,16.28,18.7,24.26
197,16.29,16.31,20.17,35.39
162,16.3,17.02,21.91,48.9
124,16.35,17.33,23.17,58.35
161,16.36,16.49,18.48,18.22
33,16.45,17.39,19.76,23.73
38,16.52,17.19,20.39,29.34
89,16.66,17.41,21.53,41.18
95,17.15,17.59,18.28,6.89
14,17.19,17.4,20.99,32.88
26,17.3,17.7,22.81,51.12
118,17.62,18.4,21.68,30.04
25,17.69,18.08,20.42,23.41
158,17.89,18.32,20.69,23.68
72,17.91,18.1,24.65,65.41
19,17.98,18.81,20.87,20.56
183,18.09,18.43,24.19,57.56
105,18.18,18.7,25.62,63.42
29,18.28,18.55,20.8,20.58
133,18.51,19.31,26.35,64.56
115,18.58,18.62,23.05,40.62
11,18.71,19.12,24.99,53.79
35,18.87,19.58,21.63,18.75
137,18.88,19.8,20.85,9.56
170,18.91,19.59,24.86,48.32
98,19.08,19.43,24.72,52.82
173,19.27,19.43,24.28,48.55
178,19.83,20.77,21.86,10.9
96,20.04,20.56,24.87,39.51
112,20.11,20.93,24.06,28.69
59,20.18,20.3,25.48,47.51
37,20.21,20.38,23.17,27.84
48,20.22,21.12,23.33,20.28
163,20.4,20.64,22.92,20.93
121,20.52,21.33,25.33,40.01
3,20.56,20.88,25.74,44.58
136,20.56,21.36,24.59,32.23
93,20.99,21.14,28.31,65.7
149,21.1,21.17,23.63,22.53
143,21.6,22.17,27.75,55.83
117,21.81,21.89,24.26,23.69
99,22.21,22.51,24.92,24.1
46,22.24,23.09,27.87,47.8
22,22.32,22.89,28.54,56.54
159,22.39,22.46,24.57,21.12
1,22.58,23.55,27.5,39.57
190,22.92,23.02,24.07,9.65
81,23.54,24.17,29.37,47.73
41,23.94,24.19,30.77,60.36
24,24.01,24.77,27.99,29.47
182,24.11,24.48,28.04,32.58
142,24.24,24.51,28.11,32.99
128,24.29,24.79,29.7,44.96
191,24.54,24.78,27.4,26.11
148,24.98,25.44,28.91,34.72
36,25.19,25.53,29.11,35.81
165,25.21,25.55,29.57,36.82
176,25.24,26.22,28.68,24.54
193,25.37,26.06,30.75,42.95
125,25.48,26.35,27.95,14.67
147,25.58,25.63,27.01,12.68
111,25.67,26.08,31.94,58.64
146,25.78,26.43,31.33,44.94
153,25.93,26.55,32.94,58.57
166,26.73,27.41,28.72,13.02
2,26.79,27.04,28.34,11.93
87,26.93,27.23,30.96,37.36
21,27.06,27.2,32.0,48.07
150,27.22,27.63,28.82,10.9
187,27.27,27.75,31.65,35.75
28,27.63,27.81,33.03,47.9
43,28.32,28.86,34.62,57.67
63,28.63,28.92,30.57,15.12
104,28.73,29.23,34.08,44.49
185,29.02,29.3,30.44,10.47
5,29.03,29.07,32.31,32.34
101,29.1,29.31,35.32,60.07
70,29.26,29.29,33.35,37.26
103,29.8,30.12,31.48,12.43
57,29.94,30.49,36.5,55.06
97,30.05,30.39,37.23,62.77
23,30.08,30.7,34.05,33.53
194,30.14,31.05,36.21,47.32
6,30.67,30.99,34.12,31.34
114,30.74,31.52,38.61,65.05
177,31.13,31.88,35.83,39.5
126,31.18,31.96,36.58,42.37
94,31.27,31.64,34.06,22.22
123,31.89,32.55,34.79,20.53
186,31.9,32.27,38.46,61.9
188,32.03,32.57,38.16,51.22
68,32.18,32.86,37.46,42.11
62,32.26,32.67,33.66,9.89
42,32.74,33.38,36.15,27.68
73,32.77,33.28,39.58,57.71
7,32.92,33.73,39.52,57.83
88,33.25,34.22,37.86,33.37
192,33.36,33.69,40.51,62.5
77,34.06,34.81,41.18,58.36
174,34.74,35.22,41.48,62.55
56,34.87,35.54,38.8,32.65
80,35.07,35.94,42.19,62.47
172,35.61,36.46,38.14,16.83
16,35.7,36.22,38.16,19.37
66,36.04,36.13,41.18,46.28
154,36.15,36.85,42.33,54.76
180,36.32,36.65,37.92,11.6
85,36.34,37.05,38.9,16.99
60,36.53,37.28,41.13,38.54
44,36.56,37.52,40.51,27.44
167,36.59,37.03,43.12,60.94
152,37.06,38.03,43.62,51.22
50,37.43,38.42,40.87,22.49
12,37.8,38.41,41.58,29.05
30,38.03,38.58,40.58,19.91
145,39.22,39.95,42.55,23.88
83,39.45,39.96,43.52,35.59
198,39.59,39.75,43.07,33.17
4,39.81,39.99,44.98,49.9
